[Header]
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 1711665277.201679, 03/28/2024, 15:34:37 PM
BYAPP, MultiVuDataFile Python class
TITLE, Hallbar data
DATATYPE, COMMENT,1
DATATYPE, TIME,2
TIMEMODE, SECONDS, RELATIVE
STARTUPGROUP, All
STARTUPAXIS, X, 2, LINEAR, AUTO
[Data]
"Comment","Time Stamp (sec)","Time","Temperature","Field","Chamber Status","Resistance"
,1711666153.787466,17,5.0,-688.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666154.801753,18,5.0,-670.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666155.813052,19,5.0,-646.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666156.822352,20,5.0,-628.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666157.837636,21,5.0,-610.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666158.849928,22,5.0,-586.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666159.853244,23,5.0,-568.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666160.86454,24,5.0,-550.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666161.87687,25,5.0,-532.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666162.892155,26,5.0,-508.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666163.909026,27,5.0,-490.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666164.919323,28,5.0,-472.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666165.920681,29,5.0,-448.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666166.932216,30,5.0,-430.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666167.948496,31,5.0,-412.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666168.96378,32,5.0,-388.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666169.964106,33,5.0,-370.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666170.980391,34,5.0,-352.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666171.995675,35,5.0,-328.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666173.008964,36,5.0,-310.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666174.023741,37,5.0,-292.0,Purged and Sealed,(50.0, 'Call was successful')
